,Date,Région,Consommation (MW),Shortage,Person Blackout,Person Blackout Percentage,warm month
149,2013-01-13,Hauts-de-France,331254.0,174.0,3153.8178920103605,0.000525276675904291,0.0
150,2013-01-13,Normandie,191899.0,171.0,2965.0939660967488,0.0008910937524426912,0.0
151,2013-01-13,Nouvelle-Aquitaine,286902.0,218.0,4543.682525740497,0.0007598413395514845,0.0
152,2013-01-13,Occitanie,254331.0,225.0,5206.744753883719,0.0008846739091970699,0.0
153,2013-01-13,Pays de la Loire,170880.0,110.0,2434.2025397940074,0.0006437265917602996,0.0
154,2013-01-13,Provence-Alpes-Côte d'Azur,280488.0,106.0,1909.5297909357976,0.0003779127805824135,0.0
155,2013-01-13,Île-de-France,485315.0,85.0,2139.1117006480326,0.00017514397865303976,0.0
156,2013-01-14,Auvergne-Rhône-Alpes,486979.0,177.0,2905.708958702531,0.00036346536503627464,0.0
157,2013-01-14,Bourgogne-Franche-Comté,161086.0,151.0,2632.0031349713818,0.0009373874824627838,0.0
158,2013-01-14,Bretagne,170873.0,84.0,1639.6667466480953,0.0004915931715367553,0.0
159,2013-01-14,Centre-Val de Loire,152768.0,82.0,1381.008758378718,0.0005367616254713029,0.0
160,2013-01-14,Grand Est,334821.0,202.0,3348.5909724897783,0.0006033074389001885,0.0
161,2013-01-14,Hauts-de-France,387182.0,183.0,2837.8172642323248,0.0004726459391190706,0.0
162,2013-01-14,Normandie,227781.0,168.0,2454.182464735865,0.000737550541967943,0.0
163,2013-01-14,Nouvelle-Aquitaine,336061.0,239.0,4252.7009739303285,0.0007111804106992481,0.0
164,2013-01-14,Occitanie,293770.0,201.0,4026.9077713857782,0.0006842087347244443,0.0
165,2013-01-14,Pays de la Loire,208359.0,114.0,2068.9397722200624,0.0005471325932645098,0.0
166,2013-01-14,Provence-Alpes-Côte d'Azur,305170.0,114.0,1887.5474260248386,0.000373562276763771,0.0
167,2013-01-14,Île-de-France,591397.0,92.0,1899.9709569037382,0.00015556385980990773,0.0
168,2013-01-15,Auvergne-Rhône-Alpes,513940.0,158.0,2457.72759855236,0.000307428882748959,0.0
169,2013-01-15,Bourgogne-Franche-Comté,170200.0,168.0,2771.5133725029377,0.0009870740305522915,0.0
170,2013-01-15,Bretagne,172745.0,92.0,1776.3645141682825,0.0005325769197371848,0.0
171,2013-01-15,Centre-Val de Loire,157438.0,81.0,1323.7026194438447,0.0005144882429908917,0.0
172,2013-01-15,Grand Est,353186.0,208.0,3268.7618195511714,0.0005889248158194266,0.0
173,2013-01-15,Hauts-de-France,390205.0,188.0,2892.7674017503623,0.00048179802924104,0.0
174,2013-01-15,Normandie,229309.0,167.0,2423.318138407127,0.0007282749477778892,0.0
175,2013-01-15,Nouvelle-Aquitaine,337149.0,223.0,3955.196349388549,0.0006614286265123135,0.0
176,2013-01-15,Occitanie,302605.0,169.0,3286.95435964376,0.0005584838320582938,0.0
177,2013-01-15,Pays de la Loire,208512.0,114.0,2067.421644797422,0.000546731123388582,0.0
178,2013-01-15,Provence-Alpes-Côte d'Azur,326236.0,102.0,1579.803773955051,0.0003126570948638409,0.0
179,2013-01-15,Île-de-France,602897.0,112.0,2268.8884900737603,0.00018576970859035622,0.0
180,2013-01-16,Auvergne-Rhône-Alpes,511360.0,157.0,2454.4940218241554,0.00030702440550688364,0.0
181,2013-01-16,Bourgogne-Franche-Comté,170134.0,171.0,2822.099033702846,0.0010050901054462953,0.0
182,2013-01-16,Bretagne,177814.0,87.0,1631.935719347183,0.0004892753101555558,0.0
183,2013-01-16,Centre-Val de Loire,162002.0,83.0,1318.173843532796,0.0005123393538351378,0.0
184,2013-01-16,Grand Est,353195.0,199.0,3127.245320573621,0.000563428134599867,0.0
185,2013-01-16,Hauts-de-France,397760.0,178.0,2686.8745575221237,0.0004475060337892196,0.0
186,2013-01-16,Normandie,233889.0,178.0,2532.358965150135,0.0007610447690998721,0.0
187,2013-01-16,Nouvelle-Aquitaine,339409.0,293.0,5162.134634025615,0.00086326526403248,0.0
188,2013-01-16,Occitanie,307442.0,175.0,3350.1011572914567,0.0005692130548200962,0.0
189,2013-01-16,Pays de la Loire,220692.0,105.0,1799.1110461638846,0.00047577619487792946,0.0
190,2013-01-16,Provence-Alpes-Côte d'Azur,332304.0,103.0,1566.1613943858633,0.00030995714767201115,0.0
191,2013-01-16,Île-de-France,610978.0,122.0,2438.7793570308586,0.00019967985753987868,0.0
192,2013-01-17,Auvergne-Rhône-Alpes,544765.0,179.0,2626.835719989353,0.00032858204914045506,0.0
193,2013-01-17,Bourgogne-Franche-Comté,178736.0,165.0,2592.0248578909677,0.0009231492256736192,0.0
194,2013-01-17,Bretagne,189766.0,82.0,1441.2695003319877,0.0004321111263345383,0.0
195,2013-01-17,Centre-Val de Loire,173863.0,82.0,1213.4493595532115,0.00047163571317646654,0.0
196,2013-01-17,Grand Est,362907.0,182.0,2783.5528055397112,0.0005015058954497985,0.0
197,2013-01-17,Hauts-de-France,418085.0,183.0,2628.0583230682755,0.00043771003504072136,0.0
198,2013-01-17,Normandie,237531.0,169.0,2367.4535660608512,0.0007114860797117009,0.0
199,2013-01-17,Nouvelle-Aquitaine,360354.0,269.0,4463.8335692124965,0.0007464881755162978,0.0
200,2013-01-17,Occitanie,321301.0,194.0,3553.6342059315098,0.000603795195159679,0.0
201,2013-01-17,Pays de la Loire,236784.0,110.0,1756.6918795188863,0.00046455841610919653,0.0
